"TestID","FlowID","StepIndex","Priority","Category","Subcategory","EntryPoint","MenuPath","ControlOrButton","ScenarioType","SetupProfile","Preconditions","ActionSteps","ExpectedUIResult","ExpectedGameplayResult","ExpectedFinanceOrStateChange","ExpectedPersistenceResult","ExpectedNotificationOrFeedback","ExpectedSuccessOrProgress","NegativeOrEdgeCondition","PassCriteria","DebugOnly"
"LSOL-0001","FIX-01","1","P0","Setup","Fresh Career Save","F7","F7 > Saving Options > Create new save","Create save","Fixture","FreshCareer","Mechanics are enabled; no conflicting named save uses the chosen name.","Open F7; open Saving Options; select Create new save; enter a unique save name; keep default baseline setup; select Create save.","Difficulty Settings opens for the pending save, then Saving Options returns with the new active save label.","A fresh named save starts with reset world state and no carried-over assets.","Balance equals the chosen starting balance; no owned properties, loans, routes, or missions exist.","A new LSOLSaves .state.ini file becomes the active save target.","Created save {SaveName}.","Successes start from fresh-save progress.","","Pass if the fresh named save is created, activated, and starts cleanly.","No"
"LSOL-0002","FIX-02","1","P1","Setup","Permit Locked Profile","F7","F7 > Saving Options > Create new save","Create save","Fixture","PermitLocked","Mechanics are enabled; a unique save name is available.","Create a new save with Licensing system On, Corridor restriction On, Reputation system On, and no purchased permits.","New save creation finishes with the chosen difficulty flags.","The profile starts in a state where permit, corridor, and reputation gates can be tested.","Selected difficulty flags are stored on the new save.","Difficulty metadata persists on save load.","Created save {SaveName}.","None.","","Pass if the new save stores permit and territory gates in the active metadata.","No"
"LSOL-0003","FIX-03","1","P1","Setup","Office Owner Profile","Office Marker","World > Office Marker > Office Menu","Rent Office or Purchase Office","Fixture","OfficeOwner","FreshCareer exists with enough balance for at least one office action.","Reach an office marker; open the office menu; rent or purchase one office; if rented, activate it.","The office menu reflects rented or owned state and can show active office actions.","Commercial systems become available for the chosen office.","Balance decreases by weekly rent or purchase price.","Office access and active-office state persist after save/load.","Rented {Office}. or Purchased {Office}.; Activated {Office}. Commercial garage capacity is now {N}.","First Office and possibly Company Footprint progress can begin.","","Pass if one office is usable as the active commercial hub for later tests.","No"
"LSOL-0004","FIX-04","1","P1","Setup","Apartment Owner Profile","Apartment Marker","World > Apartment Marker > Apartment Menu","Purchase Apartment","Fixture","ApartmentOwner","FreshCareer or OfficeOwner has enough balance for an apartment purchase.","Reach an apartment marker; open the apartment menu; purchase one apartment; activate it.","The apartment menu reflects owned and active residence state.","Apartment systems and personal garage access become available.","Balance decreases by the apartment purchase price.","Apartment ownership and active-apartment state persist after save/load.","Purchased {Apartment} for {Amount}.; Activated {Apartment}.","Home Base progress can begin.","","Pass if one apartment is active and usable for later personal vehicle tests.","No"
"LSOL-0005","FIX-05","1","P1","Setup","Fleet Owner Profile","Commercial Dealership Marker","World > Commercial Dealership","Purchase Vehicle or Rent Vehicle","Fixture","FleetOwner","OfficeOwner exists with an active office and enough funds for one purchase and one rental.","Open the commercial dealership; buy one eligible company vehicle; switch Acquisition to Rent; rent one eligible vehicle; verify both appear in Garage.","Vehicle & Cargo Type shows dealership actions and both acquired vehicles appear in the garage roster.","The company gains at least one owned and one rented commercial vehicle.","Balance decreases by purchase price and rental upfront cost.","Owned and rented fleet records persist after save/load.","Purchase and rental success messages appear for the selected assets.","Fleet Owner progress can begin if this is the first owned commercial vehicle.","","Pass if the profile contains both owned and rented commercial vehicles for later garage tests.","No"
"LSOL-0006","FIX-06","1","P1","Setup","Loan Active Profile","Bank Marker","World > Bank Marker > Bank Menu","Confirm loan","Fixture","LoanActive","FreshCareer or OfficeOwner exists; no company loan is currently active.","Open a bank; select a valid Loan amount and Repayment term; confirm the loan.","The bank page switches from Weekly company financing offer to Active company loan.","A company loan becomes active.","Balance increases by the approved principal; repayments become scheduled.","Active loan state persists after save/load.","Secured {Amount} from {Bank}. Weekly installment {Installment} for {Weeks} weeks.","No Debt Needed becomes permanently impossible after first loan disbursement.","","Pass if a valid active loan profile exists for repayment and persistence tests.","No"
"LSOL-0007","FIX-07","1","P1","Setup","NPC Company Profile","Office Menu","Office > Hire NPC","Hire NPC","Fixture","NpcCompany","OfficeOwner exists; NPC route limit is above 0; one compatible truck is in the active office garage.","Open Office > Hire NPC; configure at least one valid enabled route with assigned truck and tier; confirm the contract.","Hire NPC menus complete and a contract appears in Manage NPC List.","At least one active NPC route contract exists for runtime tests.","Upfront contract fee is deducted and weekly wages are scheduled.","NPC contract and route draft persist after save/load.","Hired {Tier} NPC with {N} route(s).","First Employee progress can begin.","","Pass if an NPC route contract exists and is ready to run for later tests.","No"
"LSOL-0008","FIX-08","1","P1","Setup","Late Game Empire Profile","Mixed","Cross-system late-game save","Multiple systems","Fixture","LateGameEmpire","A reusable advanced save can be prepared from prior fixtures.","Build one named save with an active office, active apartment, owned and rented commercial vehicles, at least one personal vehicle, one active bank loan, one NPC route, one purchased industry, one warehouse or gas station, mission packs loaded, and visible success progress.","All major surfaces have non-empty data and later tests can be run without extra bootstrap work.","Late-game world state exists across company, finance, territory, mission, and success systems.","Balance, assets, loan, contracts, site ownership, and mission data all differ from a fresh save.","The late-game save can be reloaded repeatedly as the master regression fixture.","System-specific messages appear while building the fixture.","Multiple owned and tracked milestones are already visible for success and persistence tests.","","Pass if one reusable late-game save exists with every major implemented subsystem populated.","No"
"LSOL-0009","F7-01","1","P0","Global Controls","F7 Root","F7","F7 > Game Mod Control","F7; Backspace; Esc","Smoke","FreshCareer","Gameplay is loaded and no other menu is open.","Press F7; inspect the root rows; close with Backspace; reopen and close with Esc.","Game Mod Control opens with Activate, Saving Options, Difficulty Settings, Options, Notifications, conditional Cruise control when applicable, and Close.","No gameplay state changes other than menu visibility.","No finance or world-state change.","None.","Menu opens and closes cleanly with the configured navigation keys.","None.","","Pass if F7 root opens reliably and both close paths return to gameplay without a stuck menu.","No"
"LSOL-0010","F7-02","1","P0","Global Controls","Mechanics Toggle","F7","F7 > Game Mod Control","Activate","Smoke","FreshCareer","F7 root is open.","Toggle Activate Off; press F8; reopen F7; toggle Activate On; press F8 again.","Activate row changes state between On and Off.","Mechanics enable and disable immediately; F8 only opens the company hub while mechanics are enabled.","No finance change.","Mechanics state persists only if saved into the active named save metadata.","Mod mechanics enabled. or Mod mechanics disabled.","None.","F8 should not open the company hub while mechanics are off.","Pass if the toggle changes state and gates tablet access correctly.","No"
